x;f(x)
-7.0;-5.171769464795069
-6.858585858585859;-5.634399571337315
-6.717171717171717;-5.962325250729609
-6.575757575757576;-6.154001780427731
-6.434343434343434;-6.210954597756362
-6.292929292929293;-6.137643314297531
-6.151515151515151;-5.9412622689489
-6.01010101010101;-5.631483779376304
-5.8686868686868685;-5.220151446507673
-5.7272727272727275;-4.720931870307644
-5.585858585858586;-4.148933927192537
-5.444444444444445;-3.5203053250685876
-5.303030303030303;-2.8518164814755327
-5.161616161616162;-2.1604418596279484
-5.020202020202021;-1.462948747796529
-4.878787878787879;-0.7755030864924133
-4.737373737373737;-0.11330134762773524
-4.595959595959596;0.5097633324990717
-4.454545454545455;1.081393547107021
-4.313131313131313;1.5911324574495247
-4.171717171717171;2.030556255950097
-4.03030303030303;2.393410789613533
-3.888888888888889;2.675690294462066
-3.7474747474747474;2.8756576310291
-3.6060606060606064;2.9938068385182737
-3.464646464646465;3.032770205163718
-3.3232323232323235;2.9971733491083254
-3.181818181818182;2.8934429829671324
-3.0404040404040407;2.7295730620663092
-2.898989898989899;2.5148558572515287
-2.757575757575758;2.259585113304504
-2.616161616161616;1.9747388155174344
-2.474747474747475;1.671649145555139
-2.333333333333334;1.3616669076678611
-2.191919191919192;1.0558269738735477
-2.050505050505051;0.7645200332306865
-1.9090909090909092;0.49717400978299814
-1.7676767676767682;0.26194579944363827
-1.6262626262626263;0.06542039340078701
-1.4848484848484853;-0.08768978936233494
-1.3434343434343434;-0.19485639823873954
-1.2020202020202024;-0.2560688215889079
-1.0606060606060606;-0.2741902862241616
-0.9191919191919196;-0.25529760093300635
-0.7777777777777777;-0.20887076599716042
-0.6363636363636367;-0.14751972723745135
-0.4949494949494948;-0.08570400049269573
-0.3535353535353538;-0.036848970032428006
-0.21212121212121282;-0.008928800627802875
-0.07070707070707094;-0.0003508618619189989
0.07070707070707005;0.0003508618619189858
0.21212121212121193;0.008928800627802769
0.3535353535353529;0.03684897003242776
0.4949494949494948;0.08570400049269573
0.6363636363636358;0.14751972723745094
0.7777777777777777;0.20887076599716042
0.9191919191919187;0.25529760093300613
1.0606060606060606;0.2741902862241616
1.2020202020202024;0.2560688215889079
1.3434343434343425;0.19485639823874004
1.4848484848484844;0.08768978936233576
1.6262626262626263;-0.06542039340078701
1.7676767676767682;-0.26194579944363827
1.9090909090909083;-0.49717400978299653
2.05050505050505;-0.7645200332306846
2.191919191919192;-1.0558269738735477
2.333333333333332;-1.361666907667857
2.474747474747474;-1.6716491455551374
2.616161616161616;-1.9747388155174344
2.757575757575758;-2.259585113304504
2.898989898989898;-2.5148558572515274
3.0404040404040398;-2.729573062066309
3.1818181818181817;-2.893442982967133
3.3232323232323235;-2.9971733491083254
3.4646464646464636;-3.0327702051637178
3.6060606060606055;-2.993806838518274
3.7474747474747474;-2.8756576310291
3.8888888888888893;-2.6756902944620653
4.030303030303029;-2.393410789613535
4.171717171717171;-2.030556255950097
4.313131313131313;-1.5911324574495247
4.454545454545453;-1.0813935471070277
4.595959595959595;-0.5097633324990755
4.737373737373737;0.11330134762773524
4.878787878787879;0.7755030864924133
5.020202020202019;1.46294874779652
5.161616161616161;2.160441859627944
5.303030303030303;2.8518164814755327
5.444444444444445;3.5203053250685876
5.585858585858585;4.148933927192533
5.727272727272727;4.720931870307641
5.8686868686868685;5.220151446507673
6.01010101010101;5.631483779376304
6.1515151515151505;5.941262268948899
6.292929292929292;6.137643314297529
6.434343434343434;6.210954597756362
6.575757575757574;6.154001780427734
6.717171717171716;5.96232525072961
6.858585858585858;5.634399571337318
7.0;5.171769464795069
